iter	Passed	Remaining
164	288	1462
165	289	1455
166	290	1448
167	291	1442
168	291	1435
169	292	1429
170	293	1424
171	294	1418
172	295	1412
173	296	1406
174	297	1400
175	297	1394
176	298	1388
177	299	1383
178	300	1377
179	301	1372
180	301	1364
181	302	1358
182	303	1353
183	303	1347
184	304	1342
185	305	1336
186	306	1330
187	307	1326
188	307	1321
189	308	1316
190	309	1311
191	310	1305
192	311	1300
193	311	1295
194	312	1290
195	313	1285
196	313	1279
197	314	1274
198	315	1269
199	316	1264
200	316	1259
201	317	1254
202	318	1249
203	319	1245
204	319	1240
205	321	1237
206	322	1234
207	322	1229
208	323	1224
209	324	1220
210	325	1215
211	325	1211
212	326	1206
213	327	1202
214	328	1197
215	328	1193
216	329	1188
217	330	1184
218	330	1180
219	331	1175
220	332	1171
221	333	1167
222	333	1163
223	334	1159
224	335	1155
225	336	1152
226	337	1148
227	338	1144
228	338	1140
229	339	1136
230	340	1132
231	341	1128
232	341	1125
233	342	1121
234	343	1117
235	344	1113
236	344	1110
237	345	1106
238	346	1102
239	347	1098
240	347	1095
241	350	1096
242	351	1093
243	352	1090
244	353	1088
245	354	1085
246	355	1083
247	356	1080
248	357	1076
249	357	1073
250	358	1069
251	359	1066
252	359	1062
253	360	1059
254	361	1055
255	362	1052
256	362	1049
257	363	1046
258	364	1043
259	365	1039
260	366	1036
261	366	1033
262	367	1030
263	368	1027
264	369	1023
265	369	1020
266	370	1017
267	371	1014
268	372	1011
269	372	1007
270	373	1004
271	374	1001
272	374	998
273	375	995
274	376	992
275	377	989
276	378	987
277	379	984
278	380	982
279	380	979
280	381	976
281	382	973
282	383	971
283	384	968
284	384	965
285	385	962
286	386	959
287	386	956
288	387	953
289	388	950
290	389	948
291	389	945
292	390	942
293	391	939
294	392	937
295	392	934
296	393	931
297	394	929
298	395	926
299	396	924
300	396	921
301	397	919
302	398	916
303	399	913
304	399	910
305	400	908
306	401	905
307	401	903
308	403	901
309	403	898
310	404	896
311	405	893
312	406	891
313	406	888
314	407	886
315	408	883
316	408	881
317	409	879
318	410	876
319	411	874
320	412	871
321	412	869
322	413	866
323	414	864
324	414	861
325	415	859
326	416	857
327	417	855
328	418	853
329	419	851
330	420	849
331	421	847
332	421	845
333	422	842
334	423	840
335	424	838
336	425	836
337	426	834
338	426	832
339	427	830
340	428	827
341	429	825
342	430	823
343	430	821
344	431	819
345	432	816
346	432	814
347	433	812
348	434	810
349	435	807
350	435	805
351	436	803
352	437	801
353	437	799
354	438	796
355	439	794
356	440	793
357	441	791
358	441	788
359	442	786
360	443	785
361	444	782
362	444	780
363	445	778
364	446	776
365	447	774
366	447	772
367	448	770
368	449	768
369	450	766
370	450	764
371	451	762
372	452	760
373	453	758
374	454	756
375	454	754
376	455	753
377	456	751
378	457	749
379	458	747
380	458	745
381	459	743
382	460	741
383	460	739
384	461	737
385	462	735
386	463	733
387	463	731
388	464	729
389	465	727
390	466	725
391	466	723
392	467	722
393	468	720
394	469	718
395	469	716
396	470	715
397	471	713
398	472	711
399	473	710
400	474	708
401	474	706
402	475	704
403	476	702
404	477	700
405	477	698
406	478	697
407	479	695
408	479	693
409	480	691
410	481	689
411	482	688
412	483	686
413	483	684
414	484	683
415	485	682
416	486	680
417	487	678
418	488	676
419	488	675
420	489	673
421	490	671
422	491	669
423	491	668
424	492	666
425	493	664
426	494	663
427	494	661
428	495	659
429	496	657
430	496	656
431	498	655
432	499	654
433	500	652
434	501	651
435	502	649
436	502	648
437	503	646
438	504	644
439	505	643
440	506	641
441	506	640
442	507	638
443	508	636
444	509	635
445	509	633
446	510	631
447	512	631
448	513	629
449	514	628
450	514	626
451	515	625
452	516	624
453	518	623
454	519	621
455	519	620
456	520	618
457	521	616
458	521	615
459	522	613
460	523	611
461	524	610
462	524	608
463	525	607
464	526	605
465	527	605
466	528	603
467	529	602
468	530	600
469	531	599
470	532	597
471	532	596
472	533	594
473	534	592
474	535	591
475	535	589
476	536	588
477	537	586
478	538	585
479	538	583
480	539	582
481	540	580
482	541	579
483	542	578
484	543	576
485	544	575
